name,color,age,primary_breed,secondary_breed,sex,age_in_days
Chi,Blonde,10Yrs,Chihuahua cross,Not found,Not found,3650.0
Reggie,Brown Tabby,5Yrs,Domestic Medium Hair cross,Not found,Not found,1825.0
Stray Woodland Grocery Cat 03.27.2023,Grey,12Yrs,Domestic Short Hair cross,Not found,Male,4380.0
Lana,Brown Tabby,1Yrs,Domestic Short Hair cross,Not found,Female,365.0
4400 Blk Brentlawn,Chocolate,Not found,English Lop cross,Not found,Not found,
Barnet Marine Park,Blonde,3Yrs,Goldendoodle cross,Not found,Male,1095.0
Willingdon Height Park,White,9Yrs,Husky cross,Not found,Male,3285.0
High Way1,Black,3Yrs,Jack Russell Terrier cross,Not found,Male,1095.0
Pup 1,Black,4Mths,Labrador Retriever cross,Not found,Female,120.0
Center St Stray (sullivan),Grey Tiger,4Yrs,Maine Coon cross,Domestic Longhair,Male,1460.0
,Black,4Mths,Shar-Pei cross,Not found,Female,120.0
Madeira Park Stray 3.26.23,Grey,2Yrs,Domestic Short Hair cross,Not found,Male,730.0
44th & Earles,Black,2Yrs,Domestic Short Hair cross,Not found,Not found,730.0
Warner Park 1,Red,8Wks,Golden Retriever cross,Not found,Male,56.0
Warner Park 2,Red,8Wks,Golden Retriever cross,Not found,Female,56.0
Loki,Black,9Yrs,Shiba Inu cross,Not found,Male,3285.0
Raven,Black,8Yrs,Domestic Short Hair cross,Not found,Female,2920.0
Church Stray,Brown Tabby,16Yrs,Domestic Short Hair cross,Not found,Male,5840.0
,Tabby,2Yrs,Domestic Short Hair cross,Not found,Male,730.0
Columbia Valley,Chocolate Point,2Yrs,Domestic Short Hair cross,Not found,Male,730.0
Georgie (hart Hwy Stray),Tan,12Wks,German Shepherd cross,Not found,Male,84.0
Duck/gremlin,Yellow,2Yrs,Labrador Retriever cross,Not found,Female,730.0
Goose/diane,Yellow,10Yrs,Labrador Retriever cross,Not found,Female,3650.0
Burde & 7th,Black,3Yrs,Rottweiler cross,Not found,Female,1095.0
Gatehouse Stray,Lynx Point,2Yrs,Siamese cross,Not found,Female,730.0
"Gary, Stray Male 107 Ave",Grey Tabby,5Yrs,Domestic Medium Hair cross,Not found,Male,1825.0
Chloe,Tabby,13Yrs 6Mths 1Wks,Domestic Short Hair cross,Not found,Female,4745.0
Grey Nugget,Grey,3Yrs,Domestic Short Hair cross,Not found,Male,1095.0
Greenfield Ave (penny),Torbie,9Yrs 8Mths 3Wks,Domestic Short Hair cross,Not found,Female,3285.0
Stray Dog Cbk 9 Ave.S,Black,7Yrs,Border Collie cross,Not found,Not found,2555.0
Zaya,Black,7Yrs 5Mths,Boxer cross,Mastiff,Female,2555.0
Bruce Ave Stray,Black,4Yrs,Domestic Longhair cross,Not found,Female,1460.0
9800 Haddon Dr,White,3Yrs,Domestic Short Hair cross,Not found,Male,1095.0
Douglas St.,Black,8Yrs,Domestic Short Hair cross,Not found,Male,2920.0
Oak Street Stray,Black,1Yrs,Domestic Short Hair cross,Not found,Female,365.0
Tamihi Way,Tabby,4Yrs,Domestic Short Hair cross,Not found,Male,1460.0
Found On Leathead And Franklyn,Orange Tabby,4Yrs,Domestic Short Hair cross,Not found,Male,1460.0
13 St Stray,Black,2Yrs,Domestic Short Hair cross,Not found,Female,730.0
Squeak,Grey Tabby,5Yrs,Domestic Short Hair cross,Not found,Female,1825.0
Earl,Brown Tabby,5Yrs,Domestic Short Hair cross,Not found,Male,1825.0
Magnum,Brown Tabby,2Yrs,Domestic Short Hair cross,Not found,Male,730.0
Blossom,Tortoiseshell,10Yrs,Domestic Short Hair cross,Not found,Female,3650.0
Taborglenn Drive,Brown Tabby,1Yrs,Domestic Short Hair cross,Not found,Female,365.0
Ordano Rd Stray,Orange,5Yrs,Domestic Short Hair cross,Not found,Male,1825.0
Jeremy,Brown Tabby,1Yrs,Domestic Short Hair cross,Not found,Male,365.0
Ivan,Black,2Yrs 5Mths 4Wks,Domestic Short Hair cross,Not found,Male,730.0
Industrial Kitten 1,White,1Wks,Domestic Short Hair cross,Not found,Male,7.0
Industrial Kitten 2,White,1Wks,Domestic Short Hair cross,Not found,Male,7.0
Industrial Kitten 3,Orange Tabby,1Wks,Domestic Short Hair cross,Not found,Female,7.0
McGregor Avenue Stray,Brown,2Yrs,Chicken - Hen cross,Not found,Not found,730.0
Williams Rd.,Black,1Yrs,Domestic Longhair cross,Not found,Female,365.0
Lickman,Grey,6Mths,Domestic Short Hair cross,Not found,Female,180.0
Grand Haven Mom,Black,1Yrs,Domestic Short Hair cross,Not found,Female,365.0
Grand Haven Mom K1,Black,Not found,Domestic Short Hair cross,Not found,Male(approx),
Grand Haven Mom K2,Tabby,Not found,Domestic Short Hair cross,Not found,Male(approx),
Grand Haven Mom K3,Black,Not found,Domestic Short Hair cross,Not found,Male(approx),
Grand Haven Mom K4,Tortoiseshell,Not found,Domestic Short Hair cross,Not found,Female(approx),
Grand Haven Mom K5,Torbie,Not found,Domestic Short Hair cross,Not found,Female(approx),
Grand Haven Mom K6,Tortoiseshell,Not found,Domestic Short Hair cross,Not found,Female(approx),
Hart Hwy,Grey Tabby,3Yrs,Domestic Short Hair cross,Not found,Female,1095.0
Highway Stray,Black,1Yrs,Great Pyrenees cross,Not found,Male,365.0
Vegas,Grey,2Yrs,Pit Bull Terrier cross,Not found,Female,730.0
Menzies Road Bunny 1,Black,3Wks,American cross,Not found,Not found,21.0
Menzies Road Bunny 2,Brown,3Wks,American cross,Not found,Not found,21.0
Menzies Road Bunny 3,Black,3Wks,American cross,Not found,Not found,21.0
Kelly Road,Grey,5Yrs,Domestic Short Hair cross,Not found,Not found,1825.0
Lonsdale Stray,Smoke,15Yrs,Domestic Short Hair cross,Not found,Male,5475.0
Lytton,Grey Tabby,2Yrs,Domestic Short Hair cross,Not found,Female,730.0
Daffodil,Black,8Wks,Domestic Short Hair cross,Not found,Female,56.0
Tulip,Black,8Wks,Domestic Short Hair cross,Not found,Female,56.0
8000 Blk Sidaway,Black Brown,1Yrs 6Mths,German Shepherd cross,Not found,Female,365.0
Dez,Black,1Yrs 1Mths,German Shorthaired Pointer cross,Labrador Retriever,Male,365.0
